"geo_id","geo_type","hu","pc_own","tot_pop","pc_un5","pc_un18","pc_ov64","pc_wht","pc_afrm","pc_asn","pc_othm","pc_hisp","hh","fam","pc_fmwc","pc_fhwc","acres","du_cty","du_cmps","prd_viol","foreclsr","asst_unts","avg_huval","sqft_val","avg_n_hval","sqft_n_val","avg_c_hval","sqft_c_val","yrblt_mdn","mdn_rent","qol_cfs","ofns_pers","ofns_prop","ofns_scty","crash","prmry_ems","prmry_fire","pc_nvterm","pc_nappr","pc_nprf35","pc_nhsg","pc_nclgg","pc_hmbl","pc_frlu","pc_lep_hh","cc_prvdrs","cc_cpcty","cc_enrlmt","medhhinc","pc_fmpv","pc_unem","gds_svcs","pc_n_trst","trst_trps","pc_no_vhcl","pc_alt_trn","avg_stcnd"
"55025000302","Census tract","877","84.3","2176","5","26.8","18.9","77.9","1.4","10.8","6.1","3.8","845","614","38.3","3.9","353.5","879","0","18","-5","2","564846","260.59","520506","268.5","252550","200.36","-5","1899","20","4","14","16","28","113","67","-1","-1","10.2",".4","6.1","3.1","9.1","0","5","286","245","144107","3.3","2.9","B","38.3","1636","7.9","23.2","7.6"
"55025001804","Census tract","2661","19.2","4430","3.4","9.9","6.3","72.6","9.1","6.2","5.3","6.8","2550","679","9.7","3.2","208.7","2759","0","26","-5","166","427494","293.3","429788","309.85","202762","220.67","-5","1425","170","36","265","249","76","471","322","9.7","21.4","31","2.4","49.2","14.9","52","2.9","4","165","51","62326","6.9","2.8","B,G","0","2734","12","34.5","7.4"
"55025001901","Census tract","2442","26.9","4229","3","9.2","9.1","83.2","4.8","2.2","5.6","4.2","2335","676","9.9","2.6","355.4","2679","0","101","-5","194","620478","340.76","437044","305.4","410631","369.69","-5","1506","357","87","183","494","108","1399","593","7.4","25.9","34","3.2","35.3","10.7","44.3","2","6","455","167","77363","2.9","6.9","P,B,G","8.5","2759","8.5","48.9","6.8"
"55025011000","Census tract","84","62.1","150","5.3","12.8","31.2","84.6",".7","5.4","5.3","4","84","49","13.3","2.4","54.8","138","0","0","-5","0","482704","213.06","476329","231.87","-5","-5","-5","-5","1","0","2","0","8","21","8","-1","-1","-1","-1","-1","-1","-1","-5","1","85","81","-5","-5","-5","B","44.9","483","-5","-5","7"
"55025000204","Census tract","2617","47.4","5436","8","22","19.7","58.6","11.9","17.2","4.7","7.6","2532","1406","24.9","7.9","651.7","2847","0","14","-5","342","478046","188.55","405347","188.49","258204","218.69","-5","1208","173","58","111","165","64","871","302","10.1","14","53.4","4.4","47.8","5.1","52.4","4.3","8","555","232","78059","14.1","4.6","P,B,G","15.5","2248","9.1","22.3","7"
"55025000205","Census tract","2299","65.9","4471","4.7","15","31.2","81.1","1.9","8.1","4.8","4","2240","1206","16.4","1.5","858.6","2161","0","19","-5","1","609097","215.68","527486","216.64","347916","247.98","-5","1401","20","5","37","18","22","406","169","10.5","12.4","29",".3","13.8","5.4","14.8","0","8","355","201","102369","1.2",".9","P,B,G","55.5","507","1.7","13.9","6.5"
"55025000301","Census tract","2513","8.4","3717","3","7.8","15.6","52.3","4.4","34.5","3.5","5.3","2313","551","8.6","2.2","229.3","2874","0","5","-5","100","559467","248.32","729433","211.82","533426","365.07","-5","1170","79","13","195","80","38","364","288","4.9","21.3","36.9","1.5","26.7","7.4","41.3","7.5","6","122","42","49393","21.6","3.9","P,B,G","1.5","2693","18.1","42.4","6.4"
"55025000401","Census tract","1617","81.5","3705","5.4","20.2","19.9","84.6","1.4","3.5","5.8","4.7","1580","1022","26.3","2.7","448.8","1575","0","14","-5","0","518934","274.62","481884","269.76","443358","391.22","-5","1814","25","6","30","11","40","171","104","6.5","8.1","21","0","4.3","3.5","8.7","2.1","8","273","236","131058","0","1.8","B","21.2","791","1.5","32.6","7.2"
"55025000402","Census tract","1155","74.9","2641","5.8","20.9","20.9","79.3","3","7.3","4.2","6.1","1136","730","26.9","2.8","711.3","1459","0","11","-5","144","479804","252.12","437275","257.03","200089","180.62","-5","1486","33","8","35","20","42","281","172","6.4","14.1","30.1","1.1","15.2","2.8","13.6","1.1","7","450","307","108500","14",".5","P,B,G","18.2","2029","3.1","31.6","6.4"
"55025000406","Census tract","2069","30.6","3760","4.1","13.1","21.8","69.9","3.7","16.3","4.5","5.6","1980","681","14.3","2.3","682.4","2628","0","10","-5","104","452515","212.29","409177","206.35","361032","244.65","-5","1494","70","23","98","77","49","550","259","8.7","17.5","31.4","4.1","42.4","5.2","33.3","1.8","7","1093","144","89000","2.2","1.9","P,B,G","26.1","2073","4.4","9.5","7.8"
"55025000407","Census tract","2298","60.2","5712","7.1","24.7","14.4","54.2","18.3","6.7","5.9","14.8","2231","1426","28.8","7.5","682.9","2308","0","38","-5","6","408438","196.54","399756","192.45","202871","187.99","-5","1275","236","51","115","199","50","615","360","12.4","18.5","72.2","9.7","66.7","9.7","67.6",".5","22","853","368","76402","5.3","5.2","P,B,G","34.4","1274","1.1","22.7","7.5"
"55025000408","Census tract","1195","3.5","1989","1.9","4.7","52.3","76.5","7.4","5","2.5","8.6","1043","238","5.8","2.5","935.3","2336","0","11","-5","159","-5","-5","462100","243.72","-5","-5","-5","1333","278","45","542","342","142","967","497","7.8","33.3","88.9","12.7","71.8","7.3","83.1","3.9","18","1259","1032","39973","7.3","1.1","P,B,G","4.5","2522","30.3","23.3","7.4"
"55025000409","Census tract","2053","48.3","4408","4.8","21.2","12","54.5","10.1","18.9","4.7","11.9","1974","996","23","4","686.6","2048","0","10","-5","12","549037","201.23","485716","200.57","189458","187.73","-5","1424","173","37","110","153","66","387","234","10.6","16.3","50","8.2","51.3","10","56.5","3.3","11","717","131","92614","0","7.1","P,B,G","28.5","1633","10.2","12.7","6.9"
